Haselhuhn,Hazel Grouse,,,,,,,
Sumpfrohrsänger,Marsh Warbler,,,,,,,
Buschspötter,Booted Warbler,,,,,,,
Steppenspötter,Sykes's Warbler,,,,,,,
Blassspötter,Eastern Olivaceous Warbler,,,,,,,
Orpheusspötter,Melodious Warbler,,,,,,,
Gelbspötter,Icterine Warbler,,,,,,,
Strichelschwirl,Lanceolated Warbler,,,,,,,
Feldschwirl,Common Grasshopper Warbler,,,,,,,
Schlagschwirl,River Warbler,,,,,,,
Rohrschwirl,Savi's Warbler,,,,,,,
Zistensänger,Zitting Cisticola,,,,,,,
Mönchsgrasmücke,Eurasian Blackcap,,,,,,,
Gartengrasmücke,Garden Warbler,,,,,,,
Sperbergrasmücke,Barred Warbler,,,,,,,
Klappergrasmücke,Lesser Whitethroat,,,,,,,
Orpheusgrasmücke,Western Orphean Warbler,,,,,,,
Wüstengrasmücke,Asian Desert Warbler,,,,,,,
Dorngrasmücke,Greater Whitethroat,Common Whitethroat,,,,,,
Provencegrasmücke,Dartford Warbler,,,,,,,
Brillengrasmücke,Spectacled Warbler,,,,,,,
Ligurien-Bartgrasmücke,Moltoni's Warbler,,,,,,,
Samtkopf-Grasmücke,Sardinian Warbler,,,,,,,
Sommergoldhähnchen,Common Firecrest,,,,,,,
Wintergoldhähnchen,Goldcrest,,,,,,,
Zaunkönig,Eurasian Wren,,,,,,,
Kleiber,Eurasian Nuthatch,,,,,,,
Mauerläufer,Wallcreeper,,,,,,,
Waldbaumläufer,Eurasian Treecreeper,,,,,,,
Gartenbaumläufer,Short-toed Treecreeper,,,,,,,
Rosenstar,Rosy Starling,,,,,,,
Star,European Starling,Common Starling,,,,,,
Schieferdrossel,Siberian Thrush,,,,,,,
Erddrossel,White's Thrush,,,,,,,
Ringdrossel,Ring Ouzel,,,,,,,
Amsel,Eurasian Blackbird,Common Blackbird,,,,,,
Weißbrauendrossel,Eyebrowed Thrush,,,,,,,
Schwarzkehldrossel,Black-throated Thrush,,,,,,,
Rostflügeldrossel,Dusky Thrush,,,,,,,
Wacholderdrossel,Fieldfare,,,,,,,
Rotdrossel,Redwing,,,,,,,
Singdrossel,Song Thrush,,,,,,,
Misteldrossel,Mistle Thrush,,,,,,,
Wanderdrossel,American Robin,,,,,,,
Heckensänger,Rufous-tailed Scrub Robin,,,,,,,
Grauschnäpper,Spotted Flycatcher,,,,,,,
Rotkehlchen,European Robin,,,,,,,
Blaukehlchen,Bluethroat,,,,,,,
Sprosser,Thrush Nightingale,,,,,,,
Nachtigall,Common Nightingale,,,,,,,
Rubinkehlchen,Siberian Rubythroat,,,,,,,
Blauschwanz,Red-flanked Bluetail,,,,,,,
Trauerschnäpper,European Pied Flycatcher,,,,,,,
Halsbandschnäpper,Collared Flycatcher,,,,,,,
Zwergschnäpper,Red-breasted Flycatcher,,,,,,,
Hausrotschwanz,Black Redstart,,,,,,,
Gartenrotschwanz,Common Redstart,,,,,,,
Steinrötel,Common Rock Thrush,,,,,,,
Braunkehlchen,Whinchat,,,,,,,
Schwarzkehlchen,European Stonechat,,,,,,,
Pallasschwarzkehlchen,Siberian Stonechat ,,,,,,,
Steinschmätzer,Northern Wheatear,,,,,,,
Isabellsteinschmätzer,Isabelline Wheatear,,,,,,,
Wüstensteinschmätzer,Desert Wheatear,,,,,,,
Nonnensteinschmätzer,Pied Wheatear,,,,,,,
Wasseramsel,White-throated Dipper,,,,,,,
Haussperling,House Sparrow,,,,,,,
Feldsperling,Eurasian Tree Sparrow,,,,,,,
Steinsperling,Rock Sparrow,,,,,,,
Schneesperling,White-winged Snowfinch,,,,,,,
Alpenbraunelle,Alpine Accentor,,,,,,,
Bergbraunelle,Siberian Accentor,,,,,,,
Schwarzkehlbraunelle,Black-throated Accentor,,,,,,,
Heckenbraunelle,Dunnock,,,,,,,
Zitronenstelze,Citrine Wagtail,,,,,,,
Gebirgsstelze,Gray Wagtail,,,,,,,
Bachstelze,White Wagtail,,,,,,,
Spornpieper,Richard's Pipit,,,,,,,
Steppenpieper,Blyth's Pipit,,,,,,,
Brachpieper,Tawny Pipit,,,,,,,
Wiesenpieper,Meadow Pipit,,,,,,,
Baumpieper,Tree Pipit,,,,,,,
Waldpieper,Olive-backed Pipit,,,,,,,
Petschorapieper,Pechora Pipit,,,,,,,
Rotkehlpieper,Red-throated Pipit,,,,,,,
Pazifikpieper,Buff-bellied Pipit,,,,,,,
Bergpieper,Water Pipit,,,,,,,
Strandpieper,Eurasian Rock Pipit,,,,,,,
Buchfink,Common Chaffinch,,,,,,,
Bergfink,Brambling,,,,,,,
Kernbeißer,Hawfinch,,,,,,,
Hakengimpel,Pine Grosbeak,,,,,,,
Gimpel,Eurasian Bullfinch,,,,,,,
Wüstengimpel,Trumpeter Finch,,,,,,,
Karmingimpel,Common Rosefinch,,,,,,,
Grünfink,European Greenfinch,,,,,,,
Berghänfling,Twite,,,,,,,
Bluthänfling,Eurasian Linnet,Common Linnet,,,,,,
Polarbirkenzeisig,Arctic Redpoll,,,,,,,
Kiefernkreuzschnabel,Parrot Crossbill,,,,,,,
Fichtenkreuzschnabel,Red Crossbill,,,,,,,
Bindenkreuzschnabel,Two-barred Crossbill,,,,,,,
Stieglitz,European Goldfinch,,,,,,,
Zitronenzeisig,Citril Finch,,,,,,,
Girlitz,European Serin,,,,,,,
Erlenzeisig,Eurasian Siskin,,,,,,,
Spornammer,Lapland Longspur,,,,,,,
Schneeammer,Snow Bunting,,,,,,,
Grauammer,Corn Bunting,,,,,,,
Goldammer,Yellowhammer,,,,,,,
Fichtenammer,Pine Bunting,,,,,,,
Zippammer,Rock Bunting,,,,,,,
Steinortolan,Gray-necked Bunting,,,,,,,
Ortolan,Ortolan Bunting,,,,,,,
Grauortolan,Cretzschmar's Bunting,,,,,,,
Zaunammer,Cirl Bunting,,,,,,,
Zwergammer,Little Bunting,,,,,,,
Waldammer,Rustic Bunting,,,,,,,
Weidenammer,Yellow-breasted Bunting,,,,,,,
Kappenammer,Black-headed Bunting,,,,,,,
Braunkopfammer,Red-headed Bunting,,,,,,,
Maskenammer,Black-faced Bunting,,,,,,,
Rohrammer,Reed Bunting,,,,,,,
Meisenwaldsänger,Northern Parula,,,,,,,
Gluckente,Baikal Teal,,,,,,,
Sichelente,Falcated Duck,,,,,,,
Chileflamingo,Chilean Flamingo,,,,,,,
Singammer,Song Sparrow,,,,,,,
Nandu,Greater Rhea,,,,,,,
Truthuhn,Wild Turkey,,,,,,,
Rothuhn,Red-legged Partridge,,,,,,,
Zwergkanadagans,Cackling Goose,,,,,,,
Zwergschneegans,Ross's Goose,,,,,,,
Schneegans,Snow Goose,,,,,,,
Höckergans,Swan Goose (domestic form),,,,,,,
Schwarzschwan,Black Swan,,,,,,,
